Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Yiwu State owned Capital Operation Co Ltd,YIWUGO,5.48,,2017-07-11,CND1000145L1,,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,117178345,,Yes,Financial - Other,"Real Estate Rental, Development & Operations (NEC)",China (Mainland),6799,Eligible Green Projects,False,2017-07-07
Zuercher Kantonalbank,CABKO,0.25,2025-05-08 00:00:00,2018-05-08,CH0373476743,,Swiss Franc,Switzerland,Corporate,Bond,Plain Vanilla Fixed Coupon,127282789,,Yes,Banking,Banks (NEC),Switzerland,6022,,True,2018-04-30
Tesla Energy Operations Inc,TSLAS,2.65,2018-11-05 00:00:00,2015-11-05,US83417KEN46,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-11-02
Harbin Bank Co Ltd,HBCBK,4.79,2020-04-11 00:00:00,2017-04-06,CND10000H6C2,,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,288954706,,Yes,Banking,Corporate Banks,China (Mainland),6029,Clean Transport,True,2017-03-31
Swedish Export Credit Corp,SEK,1.875,2020-06-23 00:00:00,2015-06-23,US00254EMD12,,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,,Yes,Agency,Commercial Loans,Sweden,6159,Eligible Green Projects,False,2015-06-16
Credit Agricole Corporate and Investment Bank SA,CAGRAB,7.37,2020-06-29 00:00:00,2017-06-28,XS1490310650,,Brazilian Real,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1078576,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-05-31
Credit Agricole Corporate and Investment Bank SA,CAGRAB,6.06,2018-05-29 00:00:00,2015-05-28,XS1233287363,,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,4109476,,Yes,Banking,Banks (NEC),France,6029,Eligible Green Projects,False,2015-05-07
Tesla Energy Operations Inc,TSLAS,2.65,2018-08-13 00:00:00,2015-08-13,US83417KDB17,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-08-03
Tesla Energy Operations Inc,TSLAS,3.6,2020-05-21 00:00:00,2015-05-21,US83417KBL17,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-05-18
Export Development Canada,EDC,1.625,2020-06-01 00:00:00,2017-06-01,US30216BGU08,,US Dollar,United States,Agency,Bond,Plain Vanilla Fixed Coupon,500000000,,Yes,Agency,Import-Export Banks,Canada,6082,Clean Transport,False,2017-05-24
Clearway Energy Operating LLC,CWENCC,5.375,2024-08-15 00:00:00,2015-07-21,US62943WAB54,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,,Yes,Financial - Other,Electric Utilities (NEC),United States,6726,Alternative Energy,False,2014-07-31
Tesla Energy Operations Inc,TSLAS,1.6,2016-04-23 00:00:00,2015-04-23,US83417KAW80,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,3000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-04-20
Taipei Fubon Commercial Bank Co Ltd,FUBFNB,0.67,2020-03-01 00:00:00,2018-03-01,TW000G107BH8,,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,34082001,,Yes,Banking,Banks (NEC),Taiwan,6029,Energy Efficiency,False,2018-02-12
Paprec Holding SA,PAPIG,5.25,2022-04-01 00:00:00,2015-03-27,XS1207084069,,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,611053008,,Yes,Financial - Other,Investment Holding Companies (NEC),France,6799,Refinance/Financing expenses,False,2015-03-20
Kommunalbanken AS,KOMBK,0.125,2026-08-28 00:00:00,2019-12-03,XS2088738658,,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,114701260,,Yes,Agency,Corporate Financial Services (NEC),Norway,6159,Eligible Green Projects,False,2019-11-28
Tesla Energy Operations Inc,TSLAS,1.6,2016-04-02 00:00:00,2015-04-02,US83417KAL26,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,95000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose/Acquisition,False,2015-03-30
Tesla Energy Operations Inc,TSLAS,3.6,2020-08-13 00:00:00,2015-08-13,US83417KDC99,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-08-03
Svensk FastighetsFinansiering AB (publ),SFFHOS,0.365,2019-11-20 00:00:00,2017-11-20,SE0010547828,,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,108042944,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6799,,False,2017-11-16
Ctbc Bank Co Ltd,CTBCHA,0.83,2020-05-19 00:00:00,2017-05-19,TW000G114722,,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,34128528,,Yes,Banking,Corporate Banks,Taiwan,6021,Energy Efficiency,False,2017-05-09
KfW,KFW,1.625,2020-06-05 00:00:00,2015-07-30,XS1268337844,,British Pound,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1338096958,,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2015-07-23
Bank of America Corp,BAC,2.151,2020-11-09 00:00:00,2016-11-09,US06051GGB95,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000,,Yes,Banking,Banks (NEC),United States,6712,Energy Efficiency,True,2016-11-04
Svensk FastighetsFinansiering AB (publ),SFFHOS,0.73,2019-11-20 00:00:00,2017-11-20,SE0010547810,,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,34118824,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6799,Green Construction,False,2017-11-16
Senvion Holding GmbH,SENGSS,3.875,2022-10-25 00:00:00,2017-05-05,XS1608044753,DE160804475=,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,472679145,,Yes,Financial - Other,Investment Holding Companies (NEC),Germany,6719,Energy Efficiency,False,2017-04-27
Tesla Energy Operations Inc,TSLAS,2.65,2018-05-14 00:00:00,2015-05-14,US83417KBF49,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-05-11
Paprec Holding SA,PAPIG,5.25,2022-04-01 00:00:00,2017-03-23,XS1583063950,,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,264397936,,Yes,Financial - Other,Investment Holding Companies (NEC),France,6799,,False,2017-03-16
Tesla Energy Operations Inc,TSLAS,3.6,2020-08-27 00:00:00,2015-08-27,US83417KDN54,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-08-17
Tesla Energy Operations Inc,TSLAS,2.65,2018-12-31 00:00:00,2015-12-31,US83417KFJ25,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-12-14
Nelja Energia AS,EESTEL,6.5,2021-06-02 00:00:00,2015-06-02,NO0010737174,,Euro,Norway,Corporate,Bond,Fixed Margin over Index,58755097,,Yes,Utility - Other,Renewable IPPs,Estonia,4931,Energy Efficiency,False,2015-05-26
Credit Agricole Corporate and Investment Bank SA,CAGRAB,8,2019-06-03 00:00:00,2016-06-03,XS1367225817,,Brazilian Real,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,107283172,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2016-06-03
Toronto-Dominion Bank,TD,1.85,2020-09-11 00:00:00,2017-09-12,US89114QBT40,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000,Investment Grade,Yes,Banking,Banks (NEC),Canada,6029,Alternative Energy,True,2017-09-07
Vasakronan AB (publ),VASKNV,0.3,2020-04-14 00:00:00,2017-10-13,SE0010442699,,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,17136590,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2017-10-12
Svensk FastighetsFinansiering AB (publ),SFFHOS,0.53,2020-09-07 00:00:00,2018-09-07,SE0011642115,,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,68422072,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6799,Eligible Green Projects,False,2018-08-27
Century Concord Wind Power Investment Co Ltd,CHNWDI,6.2,2019-04-07 00:00:00,2016-04-06,CND10000CBS5,,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,28591851,,Yes,Financial - Other,Electric Utilities (NEC),China (Mainland),4911,Alternative Energy,False,2016-04-01
Credit Agricole Corporate and Investment Bank SA,CAGRAB,10.5,2019-10-15 00:00:00,2015-10-20,XS1303311572,,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,15478194,,Yes,Banking,Banks (NEC),France,6029,Eligible Green Projects,False,2015-10-20
DNB Boligkreditt AS,DNBDB,0.75,2024-01-31 00:00:00,2019-03-14,XS1963067571,,Swedish Krona,Eurobond Market,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,637437270,Investment Grade,Yes,Financial - Other,Banks (NEC),Norway,6799,Energy Efficiency,False,2019-03-07
Credit Agricole Corporate and Investment Bank SA,CAGRAB,7.8,2020-01-24 00:00:00,2016-06-28,XS1367225577,,Brazilian Real,Eurobond Market,Corporate,Note,Other / Complex Floating Rate,1853224,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2016-06-28
Tesla Energy Operations Inc,TSLAS,2.65,2018-03-26 00:00:00,2015-03-26,US83417KAG31,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,18000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-03-23
Grupo Rotoplas SAB de CV,AGUA,6.44,2020-06-24 00:00:00,2017-06-28,MX91AG050000,,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Fixed Margin over Index,273226532,,Yes,Consumer Products,Environmental Services & Equipment (NEC),Mexico,9511,,False,2017-06-27
Tesla Energy Operations Inc,TSLAS,2.65,2018-07-02 00:00:00,2015-07-02,US83417KCF30,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-06-22
Kommuninvest i Sverige AB,KOMEFS,1.5,2019-04-23 00:00:00,2016-03-22,XS1383831648,,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,600000000,,Yes,Agency,Corporate Financial Services (NEC),Sweden,6159,Alternative Energy,False,2016-03-15
Guangdong Nanhai Rural Commercial Bank Co Ltd,NHRCB,4.69,2020-08-16 00:00:00,2017-08-15,CND10000J0L4,,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,43278802,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,False,2017-08-10
Tesla Energy Operations Inc,TSLAS,3.6,2020-05-29 00:00:00,2015-05-29,US83417KBQ04,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-05-18
Paprec Holding SA,PAPIG,5.25,2022-04-01 00:00:00,2015-03-27,XS1207101418,,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,611053008,,Yes,Financial - Other,Investment Holding Companies (NEC),France,6799,Refinance/Financing expenses,False,2015-03-20
Vasakronan AB (publ),VASKNV,0.768,2024-09-11 00:00:00,2019-11-21,XS2082344800,,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,57174221,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,False,2019-11-14
Tesla Energy Operations Inc,TSLAS,3.6,2020-04-09 00:00:00,2015-04-09,US83417KAT51,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Acquisition,False,2015-04-06
Digital Realty Trust LP,DLRLT,3.95,2022-07-01 00:00:00,2015-06-23,US25389JAL08,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Real Estate Investment Trust,"Real Estate Rental, Development & Operations (NEC)",United States,6798,Eligible Green Projects,False,2015-06-18
QBE Insurance Group Ltd,QBE,3,2022-10-21 00:00:00,2017-04-24,XS1589873097,,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,,Yes,Property and Casualty Insurance,Property & Casualty Insurance (NEC),Australia,6331,Eligible Green Projects,True,2017-04-20
Segi Astana Sdn Bhd,WCTES,4.8,2019-01-08 00:00:00,2018-01-08,MYBUE1800026,,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,5882352,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Tesla Energy Operations Inc,TSLAS,2.65,2018-07-23 00:00:00,2015-07-23,US83417KCR77,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-07-13
Jain International Trading BV,JAIRJ,7.125,2022-02-01 00:00:00,2017-02-01,XS1555346995,IN155534699=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,200000000,High Yield,Yes,Machinery,Agricultural Machinery,Netherlands,3523,Alternative Energy,False,2017-01-25
Agricultural Bank of China Ltd,AGBKC,4.15,2017-10-20 00:00:00,2015-10-20,HK0000270386,,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,87847730,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2015-10-14
Samhallsbyggnadsbolaget I Norden AB,SBB,0.734,2021-11-08 00:00:00,2019-11-11,XS2078691123,,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,57578479,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,True,2019-11-06
KfW,KFW,1.66,2020-08-17 00:00:00,2017-08-17,US48245ACK51,,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,150000000,,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Alternative Energy,False,2017-08-11
Export Import Bank Of India,EXIMB,2.75,2020-04-01 00:00:00,2015-04-01,XS1209864229,,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,,Yes,Agency,Corporate Financial Services (NEC),India,6061,Eligible Green Projects,False,2015-03-16
Clp Wind Farms (India) Pvt Ltd,CLPHLM,9.15,2018-04-30 00:00:00,2015-09-15,INE336K07016,,Indian Rupee,India,Corporate,Bond,Plain Vanilla Fixed Coupon,26741542,,Yes,Utility - Other,Electric Utilities (NEC),India,4911,Alternative Energy,False,2015-09-15
US International Development Finance Corp,DFC,1.2051364,2033-06-01 00:00:00,2015-09-23,US690353J329,,US Dollar,United States,Agency,Certificate of Participation,Other / Complex Floating Rate,13800000,,Yes,Agency,,United States,9721,Alternative Energy,False,2015-09-21
Vasakronan AB (publ),VASKNV,1.183,2020-08-21 00:00:00,2017-08-31,SE0010297424,,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,23179537,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2017-08-22
Clp Wind Farms (India) Pvt Ltd,CLPHLM,9.15,2019-04-30 00:00:00,2015-09-15,INE336K07024,,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Plain Vanilla Fixed Coupon,26741542,,Yes,Utility - Other,Electric Utilities (NEC),India,4911,Alternative Energy,False,2015-09-15
Tesla Energy Operations Inc,TSLAS,2.65,2018-09-17 00:00:00,2015-09-17,US83417KDX37,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-08-31
Rizal Commercial Banking Corp,RCB,6.7315,2020-08-01 00:00:00,2019-02-01,PHY7311HAL88,,Philippine Peso,Philippines,Corporate,Bond,Plain Vanilla Fixed Coupon,305685755,,Yes,Banking,Banks (NEC),Philippines,6029,,True,2019-02-01
Clp Wind Farms (India) Pvt Ltd,CLPHLM,9.15,2020-04-30 00:00:00,2015-09-15,INE336K07032,,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Plain Vanilla Fixed Coupon,26741542,,Yes,Utility - Other,Electric Utilities (NEC),India,4911,Alternative Energy,False,2015-09-15
Credit Agricole Corporate and Investment Bank SA,CAGRAB,6.63,2020-01-30 00:00:00,2017-01-30,XS1490302046,,Russian Ruble,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,72884826,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2017-01-19
Segi Astana Sdn Bhd,WCTES,4.9,2020-01-08 00:00:00,2018-01-08,MYBUF1800031,,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,5882352,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Modern Land (China) Co Ltd,MODLA,15.5,2020-07-02 00:00:00,2019-01-02,XS1926064541,,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,350000000,,Yes,Service - Other,Residential Real Estate Rental & Development,Cayman Islands,6531,Eligible Green Projects,True,2018-12-20
Senvion Holding GmbH (Pre-Reincorporation),SENGV,6.625,2020-11-15 00:00:00,2015-04-29,XS1223808749,,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,470040776,,Yes,Financial - Other,Financial & Commodity Market Operators & Service Providers (NEC),Germany,6719,Merger or Acquisition,False,2015-04-24
E.Sun Commercial Bank Ltd,ESUFIC,0.66,2020-04-24 00:00:00,2018-04-24,TW000G102AZ3,,Taiwanese Dollar,Taiwan,Corporate,Note,Plain Vanilla Fixed Coupon,37468492,,Yes,Banking,Corporate Banks,Taiwan,6029,Energy Efficiency,False,2018-04-24
Akuo Energy SAS,AKUOE,5.5,2020-06-30 00:00:00,2015-06-30,FR0012815967,,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,40388253,,Yes,Utility - Other,Renewable Energy Equipment & Services (NEC),France,4911,Alternative Energy,False,2015-06-30
Tesla Energy Operations Inc,TSLAS,1.6,2016-05-14 00:00:00,2015-05-14,US83417KBE73,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,3000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-05-11
Tesla Energy Operations Inc,TSLAS,3.6,2020-03-19 00:00:00,2015-03-19,US83417KAC27,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,2800000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-03-16
Bank of China Ltd (New York Branch),BKCHNW,3.6,2018-07-12 00:00:00,2016-07-12,XS1437844100,,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,217026448,,Yes,Banking,Banks (NEC),United States,6081,Alternative Energy,False,2016-07-05
Landsea Green Properties Co Ltd,LADSA,9.625,2020-04-25 00:00:00,2018-04-25,XS1807156499,,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,200000000,,Yes,Service - Other,Residential Real Estate Rental & Development,Bermuda,6512,Eligible Green Projects,True,2018-04-20
Century Concord Wind Power Investment Co Ltd,CHNWDI,7.17,2020-12-06 00:00:00,2017-12-04,CND10000L1Q7,,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,14447735,,Yes,Financial - Other,Electric Utilities (NEC),China (Mainland),4911,Alternative Energy,False,2017-11-30
Tesla Energy Operations Inc,TSLAS,1.6,2016-07-16 00:00:00,2015-07-16,US83417KCK25,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Working capital,False,2015-07-13
Credit Agricole Corporate and Investment Bank SA,CAGRAB,4.71,2020-02-28 00:00:00,2017-02-27,XS1490301824,,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,6095723,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2017-01-16
KfW,KFW,2.4,2020-07-02 00:00:00,2015-04-02,AU000KFWHAC9,,Australian Dollar,Australia,Agency,Note,Plain Vanilla Fixed Coupon,737098926,,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2015-03-26
Tesla Energy Operations Inc,TSLAS,3.6,2020-07-16 00:00:00,2015-07-16,US83417KCM80,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,General Purpose,False,2015-07-13
Harbin Bank Co Ltd,HBCBK,4.68,2020-05-10 00:00:00,2017-05-05,CND10000H8S4,,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,286763019,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2017-05-02
Ab Financial Products DAC,ADRBCA,--,2021-02-22 00:00:00,2018-02-21,XS1772378417,,Euro,Eurobond Market,Corporate,Note,Range Coupon,861397,,Yes,Financial - Other,Corporate Financial Services (NEC),Ireland,6799,General Purpose,False,2018-02-21
Southern Power Co,SOPWR,1.85,2017-12-01 00:00:00,2015-11-17,US843646AN06,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,500000000,,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Eligible Green Projects,False,2015-11-12
Kommuninvest i Sverige AB,KOMEFS,0.625,2023-06-01 00:00:00,2019-09-17,XS2052441743,,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,342731800,,Yes,Agency,Corporate Financial Services (NEC),Sweden,6159,Clean Transport,False,2019-09-13
Tesla Energy Operations Inc,TSLAS,3.6,2020-07-02 00:00:00,2015-07-02,US83417KCG13,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,10000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-06-22
ING Bank NV,INGBK,2,2018-11-26 00:00:00,2015-11-24,US44987CAJ71,,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,800000000,,Yes,Banking,Banks (NEC),Netherlands,6029,Eligible Green Projects,False,2015-11-17
Rikshem AB (publ),RIKINR,0.25,2018-05-07 00:00:00,2015-05-07,SE0007073903,,Swedish Krona,Sweden,Corporate,Note,Plain Vanilla Fixed Coupon,40118291,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6514,Eligible Green Projects,False,2015-04-28
Atrium Ljungberg AB,ATRLJ,0.75,2020-03-27 00:00:00,2017-03-27,SE0009779465,,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,57572512,,Yes,Home Builders,Retail Real Estate Rental & Development,Sweden,6531,Clean Transport,True,2017-03-21
